,frete,avaliação_cliente,peso_gr,valor_pagamento,tempo_processamento,tempo_espera,entregue_no_prazo
0,13.63,4,1300.0,397.26,1.0,6.0,1
2,8.3,5,245.0,88.09,2.0,9.0,1
3,45.12,5,6550.0,194.12,3.0,13.0,0
4,42.85,5,7650.0,222.84,0.0,10.0,1
5,134.25,5,9850.0,1333.25,5.0,18.0,0
6,13.2,1,950.0,462.7,4.0,5.0,1
8,4.4,1,900.0,462.7,4.0,5.0,1
10,11.85,5,600.0,58.75,3.0,14.0,0
11,59.06,5,8450.0,198.96,0.0,5.0,1
12,12.13,5,1825.0,102.03,1.0,8.0,1
13,26.69,4,1450.0,613.25,1.0,7.0,1
14,17.0,5,887.0,136.99,1.0,8.0,1
15,14.6,5,250.0,682.5,2.0,12.0,0
20,7.78,4,200.0,42.78,2.0,3.0,1
21,22.06,4,175.0,46.96,1.0,6.0,1
22,14.61,3,300.0,67.72,0.0,5.0,1
23,7.31,3,300.0,67.72,0.0,5.0,1
24,13.07,5,850.0,103.06,0.0,3.0,1
25,21.66,2,2350.0,188.65,1.0,63.0,0
26,8.29,5,150.0,30.19,0.0,2.0,1
27,16.83,3,450.0,170.03,1.0,9.0,1
29,21.54,4,1700.0,171.53,5.0,21.0,0
30,15.37,5,200.0,312.78,8.0,17.0,0
33,13.57,5,200.0,65.24,0.0,4.0,1
34,12.62,5,584.0,172.52,0.0,10.0,1
35,19.66,5,4400.0,79.56,0.0,9.0,1
36,15.1,5,100.0,45.09,1.0,7.0,1
37,36.43,4,538.0,195.13,0.0,13.0,0
38,39.97,5,5700.0,179.87,0.0,4.0,1
39,15.33,5,150.0,80.33,2.0,18.0,0
40,28.5,1,3400.0,188.4,12.0,18.0,0
41,11.85,5,100.0,61.85,1.0,6.0,1
42,16.18,5,700.0,20.0,1.0,11.0,0
45,16.18,5,700.0,16.08,1.0,11.0,0
46,17.67,1,950.0,154.67,4.0,25.0,0
47,7.86,5,300.0,92.86,8.0,10.0,1
48,22.06,4,300.0,56.96,3.0,19.0,0
49,11.85,5,266.0,122.25,3.0,14.0,0
52,17.34,5,5450.0,58.34,4.0,11.0,0
53,13.48,5,300.0,162.48,3.0,8.0,1
54,69.23,5,6100.0,752.21,4.0,11.0,0
55,31.7,1,1100.0,296.89,3.0,38.0,0
56,30.48,1,1800.0,296.89,3.0,38.0,0
